,headline,prediction,actual
153,france fines google 167 million opaque ad platform rules,1,-1.0
159,apple airpods pro sold online ahead holidays,1,-1.0
160,dow heavyweight boeing ending strong decade whimper,1,-1.0
161,dow jones news bad china news apple walgreens cvs sued,1,-1.0
162,u warns europe trade imbalances 2020 priority,1,-1.0
169,apple stock dips credit suisse says iphone shipments drop 35 china,1,-1.0
171,apple china iphone shipments fall 35 november credit suisse,1,-1.0
172,apple iphone shipments china may plunged last month,1,-1.0
190,apple china business showing signs concern says analyst,1,-1.0
198,u senators threaten facebook apple encryption regulation,1,-1.0
199,facebook longer among glassdoor top 10 workplaces,1,-1.0
201,apple wearables business expected overtake mac 2020,-1,1.0
202,apple accused monitoring employee text messages lawsuit ex chip exec,1,-1.0
204,apple new mac pro finally cheap,1,-1.0
205,apple deep concerns ex employees accused theft flee china,1,-1.0
211,ninth straight loss knicks continue grim path forward,1,-1.0
213,stocks soar bullish jobs report,-1,1.0
218,apple killing charging plug highest end phones 2021 top analyst predicts,1,-1.0
221,newsbreak u stocks struggle earn gains,1,-1.0
224,wall street falls third straight day trade hopes dim,1,-1.0
225,billionaires investing china electric cars face shakeout,1,-1.0
226,huawei faces online storm china employee treatment,1,-1.0
227,apple fails end macbook butterfly keyboard class action,1,-1.0
232,apple supplier japan display review past earnings fraud warning,1,-1.0
233,stocks deere boeing fall premarket apple tesla rise,1,-1.0
235,ukraine denounces apple calling crimea part russia apps,1,-1.0
237,apple delays movie theater release banker,1,-1.0
240,trade war threatens tech sectors china silicon valley,1,-1.0
241,stocks wall street tumbles trade tensions escalate,1,-1.0
242,apple supplier japan display says executive embezzled 5 25 million,1,-1.0
243,apple cancels premiere film banker unspecified concerns,1,-1.0
244,hsbc cites rules protest linked account reportedly shut,1,-1.0
247,sustainable investors face squeeze larger firms move,1,-1.0
249,apple warns risks german law open mobile payments,1,-1.0
251,key antitrust lawmaker frustrated google fitbit deal,1,-1.0
252,warren lashes goldman apple card bias claims bloomberg,1,-1.0
254,stocks another act waiting china leaves p flat,1,-1.0
255,apple supplier japan display logs 11th straight quarterly net loss,1,-1.0
256,alibaba seals 38 billion singles day sales record,-1,1.0
257,alibaba singles day sales hit record 38 billion growth slows,-1,1.0
260,goldman faces probe entrepreneur slams apple card algorithm tweets,1,-1.0
264,google fitbit deal eu says worrying firms targeted data,1,-1.0
265,founder china smartphone maker smartisan barred planes trains,1,-1.0
266,newsbreak nasdaq composite hits time high strong jobs report,-1,1.0
268,samsung flags smartphone profit fall upbeat chips,1,-1.0
270,sony record second quarter profit image sensor demand offsets slide gaming earnings,-1,1.0
271,comic fed apple earnings jobs data traders lot juggle week,1,-1.0
274,tesla overtakes gm valuable u automaker short sellers burned,-1,1.0
278,house antitrust probe report likely first part 2020,-1,1.0
280,trade tensions jibes u overshadow chinese cyber conference,1,-1.0
281,u chipmaker broadcom told stop exclusivity deals till eu probe ends,1,-1.0
283,netflix rallies overseas growth eases investor worries,1,-1.0
286,stockbeat apple hits time high wall street talks streaming potential,-1,1.0
287,n korean hackers new macos malware hides behind fake crypto firm,1,-1.0
288,google pulls hong kong protester role playing app,1,-1.0
289,apple pulls app used track hong kong police protesters,1,-1.0
290,dyson becomes latest sign electric car bubble bursting,-1,1.0
291,dyson becomes latest sign electric car bubble bursting,-1,1.0
293,u supreme court snubs university wisconsin appeal patent fight apple,1,-1.0
295,china state newspaper criticizes apple app use hong kong protesters,1,-1.0
298,fbi director warns facebook could become platform child pornographers,1,-1.0
300,fbi director warns facebook could become platform child pornographers,1,-1.0
303,stocks p pulls back trade uncertainties,1,-1.0
304,stocks apple rises premarket facebook hp fall,1,-1.0
310,stocks u futures ahead payrolls bounce fades,1,-1.0
311,tsmc counter sues u chip rival globalfoundries patent infringement,1,-1.0
315,apple denied tariff relief five mac pro parts staying texas,1,-1.0
316,apple supplier japan display loses chinese funds bailout risk,1,-1.0
317,chinese hackers pursued uighurs also targeted tibetans researchers,1,-1.0
318,chinese hackers pursued uighurs also targeted tibetans researchers,1,-1.0
319,dozens hong kong protesters appear court rioting charges,1,-1.0
324,surprise move foxconn gou drops taiwan presidential bid,1,-1.0
326,newsbreak apple rejects goldman thesis says tv hit profit,1,-1.0
327,apple counters goldman call negative impact apple tv trial,1,-1.0
328,apple sour reaction goldman sachs analyst note,1,-1.0
329,stocks broadcom merck fall premarket amazon rises,1,-1.0
335,stocks apple facebook ford fall premarket trade,1,-1.0
336,china weibo takes instagram like app logo plagiarism spat,1,-1.0
337,china hacked asian telcos spy uighur travelers sources,1,-1.0
339,trump sees trade deal tougher china elected,1,-1.0
341,trump heaps tariffs china still deal sight,1,-1.0
342,u threat french wine receding lifted minister,1,-1.0
343,globalfoundries sues tsmc wants u import ban products,1,-1.0
347,protest fears stalk hong kong businesses china threat looms,1,-1.0
348,u stocks lower close trade dow jones industrial average 0 66,1,-1.0
351,apple ceo warns trump china tariffs samsung competition,1,-1.0
353,tesla becomes profitable u short bet bears gain 2 75 billion,-1,1.0
354,painful trade war hp supplier shifting china,1,-1.0
355,apple investigation unfair competition russia,1,-1.0
356,amazon alexa comes scrutiny luxembourg privacy watchdog,1,-1.0
357,apple supplier japan display posts tenth straight quarter net loss,1,-1.0
358,huawei says tough meet 1 smartphone vendor goal due u curbs,1,-1.0
361,japan ftc investigating apple pressure parts makers mainichi,1,-1.0
362,j c penney ceo debt haunts turnaround bid,1,-1.0
365,tariff threats rock global economy 24 hours pain,1,-1.0
366,senators seek serious fines antitrust violations,1,-1.0
368,stocks stocks dive fed powell sinks future easing hopes,1,-1.0
369,samsung electronics second quarter profit 56 chip troubles persist,1,-1.0
370,asian shares six week low trade worry pound pressure,1,-1.0
371,nintendo quarterly profit drops 10 ahead switch lite launch,1,-1.0
372,exclusive bearing brunt trade war singapore chipmakers cut jobs,1,-1.0
373,south korea lg display posts deeper second quarter loss tv panel supply glut,1,-1.0
377,japan curbs could drag hurt global economy moon,1,-1.0
380,wall street pessimistic apple decades,1,-1.0
382,calls boycott japan grow south korea labor row simmers,1,-1.0
383,new york city seen declining real wages century,1,-1.0
384,u supreme court business friendly reputation takes hit,1,-1.0
385,u lawmaker says small tech firms fear retaliation aid antitrust probe,1,-1.0
386,linkedin jobs boost caps record fdi period ireland,-1,1.0
387,huawei braces phone sales drop 60 million overseas,1,-1.0
389,republican senator criticizes potential dual u antitrust tech probes,1,-1.0
390,apple cancels plans second data center denmark,1,-1.0
391,lg elec 5g phones doubt chip deal qualcomm set expire,1,-1.0
392,media big problem reuters institute says pay news,1,-1.0
394,apple patent suit vs google gets second life,1,-1.0
397,jury reaches verdict apple samsung patents trial,1,-1.0
398,apple explains samsung owes 2 2b,1,-1.0
401,u stocks open mixed lower data ahead dow jones 0 03,-1,1.0
403,apple q2 earnings revenue 2 billion,-1,1.0
409,u stocks open mixed adp report dow jones 0 12,1,-1.0
412,amazon twitter fail greenpeace report card green energy,1,-1.0
413,u futures hold downtrend eyes earnings dow jones 0 31,1,-1.0
415,apple moved profits away australia evade taxes report,-1,1.0
416,nikon apple mcdonald escape unscathed china consumer rights report ordeal,-1,1.0
417,american companies frustration china heightens,1,-1.0
426,apple aapl iphone sales lag wall street view,1,-1.0
427,apple buyback program support ends carl icahn changed mind,1,-1.0
431,apple unveils two new iphones stocks fall,1,-1.0
432,u stocks slide ahead ism data dow jones 0 50,1,-1.0
