,Date,change,News
108,2014-04-07,-1,"['U S  futures hold downtrend  eyes on earnings  Dow Jones down 0 31', 'U S  stocks open lower  focus on earnings season  Dow Jones down 0 09']"
110,2014-04-09,1,['Apple Explains Why Samsung Owes It  2 2B']
118,2014-04-22,1,['China Mobile iPhone Sales Seen Creating An Apple Holding Pattern In Q2']
119,2014-04-23,-1,"['U S  futures edge lower ahead of data  earnings  Dow Jones down 0 06', 'U S  stocks open mixed to lower with data ahead  Dow Jones up 0 03', 'Apple Revenue Beats Estimate  OKs 7 for 1 Stock Split', 'Apple Q2 Earnings  Revenue Up  2 Billion']"
120,2014-04-24,-1,"['U S  stocks rise on strong durable goods data  Dow Jones up 0 12', 'U S  stocks gain on data  Ukraine weighs  Dow ends flat', 'General Electric s  13 Billion Deal For French Industrial Giant', 'U S  futures rise as markets eye upcoming data  Dow Jones up 0 28']"
121,2014-04-25,1,['Apple Patent Suit vs  Google Gets Second Life']
122,2014-04-28,1,"['U S  futures rise as sentiment recovers  Dow Jones up 0 28', 'U S  stocks open higher  data ahead  Dow Jones up 0 58']"
127,2014-05-05,1,"['European stocks push sharply lower on Ukraine tensions  Dax down 1 48', 'Jury Reaches Verdict In Apple Samsung Patents Trial']"
131,2014-05-09,1,"['U S  futures fall on Ukraine fears  earnings ahead  Dow Jones down 0 13', 'A Big Deal  Apple Reportedly In Talks To Buy Beats For  3 2B', 'U S  stocks edge lower in thin trade  Dow Jones down 0 13', 'Report  Apple iPhone 6 Coming In August', 'Dow Ends At Record High']"
132,2014-05-12,1,"['U S  futures edge higher in light trade  Dow Jones up 0 31', 'U S  stocks open higher despite Ukraine worries  Dow Jones up 0 57']"
140,2014-05-22,1,"['U S  futures edge higher  eyes on economic reports  Dow Jones up 0 12', 'U S  stocks mixed after jobless claims disappoint  Dow Jones down 0 12']"
141,2014-05-23,1,['Morgan Stanley  Buy Apple  Now ']
144,2014-05-29,1,"['U S  futures hold steady ahead of data  Dow Jones up 0 07', 'U S  stocks open higher after mixed economic reports  Dow Jones up 0 19', ' Microsoft To Put Salesforce Apps Into Windows Run Devices']"
145,2014-05-30,-1,['Sequoia Capital Raises  530M For India Focused Fund']
146,2014-06-02,-1,['U S  stocks mixed ahead of ISM report  Dow Jones up 0 13']
147,2014-06-03,1,"['U S  stocks open lower  eyes on data  Dow Jones down 0 24', 'Why Tesla Motors Outlines Its Efforts To Root Out Conflict Minerals From Its Supply Chain', 'U S  futures edge lower despite Chinese data  Dow Jones down 0 10']"
150,2014-06-06,-1,"['U S  futures edge higher  employment data in focus  Dow Jones up 0 22', 'U S  stocks open higher on jobs report  Dow Jones up 0 31']"
151,2014-06-09,1,"['U S  futures hold steady in thin trade  Dow Jones down 0 05', 'U S  stocks little changed in thin trade  Dow Jones up 0 02', 'Apple s Share Split Hits The Market Monday']"
152,2014-06-10,-1,"['U S  futures edge lower but remain supported  Dow Jones down 0 12', 'U S  stocks hold steady in light trade  Dow Jones down 0 04', 'EU To Launch Investigation Into Apple s Irish Tax Deal  State TV']"
163,2014-06-25,1,"['U S  futures steady with eyes on GDP data  Dow Jones up 0 03', 'U S  stocks edge higher despite weak data  Dow Jones up 0 07']"
169,2014-07-03,1,"['Apple Headed For  115 A Share As Its iPhone Sales Outpace Rival Samsung  Analyst', 'Amazon s Luxembourg taxes under scrutiny  FT']"
171,2014-07-08,-1,['Car maker Tesla sued in China for trademark infringement ']
172,2014-07-09,-1,['Apple loses China patent case  separate suit against Apple continues']
173,2014-07-10,1,"['U S  futures fall on Fed meeting minutes  Dow Jones down 0 77', 'U S  stocks open sharply lower  Europe weighs  Dow Jones down 0 91', 'U S  sues Amazon over purchases by kids using mobile apps']"
174,2014-07-11,-1,"['Amazon Sued By FTC Over Unauthorized In App Purchases', 'Apple iPhone a danger to China national security  state media', 'The World s Worst Corporate Human Rights Violators']"
175,2014-07-14,1,"['Hack A Tesla  Win Some Cash', 'Samsung Case Shows Difficulty Of Holding Supply Chains To Standards']"
177,2014-07-16,-1,"['Global business leaders push for infrastructure funding overhaul', 'Samsung battles on two fronts as Apple readies iPhone 6']"
178,2014-07-17,-1,"['Apple IBM deal dents BlackBerry s prospects  slams stock', 'Apple appoints BlackRock founding partner to board', 'Next generation iPhone to enter mass production this month  media']"
180,2014-07-21,-1,['Apple asks suppliers to produce up to 80 million large screen iPhones  WSJ']
181,2014-07-22,1,"['Earnings Buzz  Verizon  Comcast ', 'Apple revenue lags Street s view despite strong China growth', 'Apple Bruised By Disappointing Earnings Report']"
182,2014-07-23,1,['Apple pushes S P 500 to record close  Boeing hits Dow']
183,2014-07-24,-1,"['In China  Apple s focus pays off while Samsung feels squeeze', 'European stocks rise on euro zone data  sanctions hit Russia', 'Facebook shares hit record high as market likes earnings']"
184,2014-07-25,1,"['With sales sputtering  Apple s iPad looks to IBM alliance', 'Apple iPhones allow extraction of deep personal data  researcher finds']"
186,2014-07-29,-1,"['BlackBerry buffs up security credentials with Secusmart deal', 'Microsoft gives employees sneak peek at new  selfie  phone']"
187,2014-07-30,-1,['Russia wants Apple  SAP to cooperate against foreign spying']
188,2014-07-31,-1,['Layoffs At Apple Imminent After Record Acquisition  Report']
189,2014-08-01,1,"['U S  futures decline ahead of jobs report  Dow Jones down 0 67', 'U S  stocks mixed after employment data  Dow Jones down 0 20', 'Apple  450 million e book settlement wins court approval']"
191,2014-08-05,-1,"['BlackBerry closes chapter on restructuring process   internal memo', 'Apple to hold iPhone related media event on September 9  Re code', 'Samsung Electronics  Apple call end to patents war outside U S ', 'Tesla resolves trademark dispute in China']"
192,2014-08-06,1,"['Samsung s next reinvention challenge  itself ', 'After Hours Buzz  Sprint  Apple  T Mobile  IBM']"
195,2014-08-11,1,['For largest U S  companies  jobs growth has lagged profits  revenues']
197,2014-08-13,1,['Amazon com takes on PayPal  Square with credit card reader']
198,2014-08-14,1,['Top U S  hedge funds up Dollar General  Walgreen stakes ']
199,2014-08-15,1,['Apple begins storing users  personal data on servers in China']
201,2014-08-19,1,['Wall St  extends rally  lifted by Apple and Home Depot']
203,2014-08-21,1,['5 Stocks That Could Surge After The iPhone 6 Release']
206,2014-08-26,-1,['Apple planning 12 9 inch iPad for 2015  Bloomberg']
208,2014-08-28,1,['New iPhones expected at Sept  9 Apple event']
209,2014-08-29,-1,"['U S  futures rise as upbeat data still supports  Dow Jones up 0 18', 'U S  stocks open higher  UoM report ahead  Dow Jones up 0 09', 'Microsoft will not hand over overseas email  despite order ']"
211,2014-09-03,-1,"['Wall Street ends mixed as Apple weighs on Nasdaq', 'Apple shares slump ahead of September 9 iPhone launch']"
212,2014-09-04,-1,"['Asia stocks mostly lower  Nikkei falls 0 3  after BoJ', 'U S  watchdogs accuse Chinese Apple supplier of unsafe work conditions']"
213,2014-09-05,1,"['Apple to add security alerts for iCloud users  says Cook  WSJ', 'U S  futures edge lower on Fed speculation  Dow Jones down 0 33', 'Apple s rivals hope its iWatch makes  wearable  work ', 'U S  stocks open lower on nonfarm payrolls miss  Dow Jones down 0 17', 'Apple says its systems not to blame for celebrity photo breach ', 'S P 500 ends at record as jobs report eases Fed worries']"
214,2014-09-08,-1,['Showtime for Apple  Big phones  smart watches and high expectations']
215,2014-09-09,-1,"['Apple counts down to launch of smartwatch  bigger iPhone', 'Wall Street ends lower as Apple falls  bond yields rise']"
216,2014-09-10,1,"['Apple gives NFC chip technology a prized seal of approval', 'Shares fall  yields rise as Fed  Scotland dominate', 'Apple Pay s Big Pay Off', 'Wall Street ends higher after two days of losses as Apple rebounds']"
217,2014-09-11,1,"['Icahn wins three board seats at Hertz  shares jump', 'S P 500 rebounds with energy shares  Dow dips']"
218,2014-09-12,1,"['China s iPhone delay gives smugglers reason to cheer', 'Wall St  declines with energy  ends five week string of gains', 'Microsoft needs Minecraft to boost mobile ambitions ', 'Larger Apple iPhone shipments delayed amid record orders']"
219,2014-09-15,-1,"['Exclusive  Two Apple medical trials shed light on how HealthKit will work', 'Microsoft to buy Minecraft maker Mojang for  2 5 billion', 'Nasdaq slumps to worst day since July  S P 500 dips']"
220,2014-09-16,1,['Wall St  climbs as expectations shift on Fed policy ']
221,2014-09-17,1,"['IPhone emerges from  bygone era   reviewers hail bigger handset', 'Apple to unveil new iPads  operating system on Oct  21  report', 'Wall Street edges higher after Fed  Dow sets record']"
222,2014-09-18,-1,"['Apple s iPhone 6 still one license away from elusive China launch', 'Dow  S P 500 at records as Fed driven rally continues', 'Apple s iPhone 6 Plus includes chips from Qualcomm  Skyworks  iFixit']"
223,2014-09-19,-1,"['Rivals dash to support Apple Pay for fear of losing out', 'Some consumers say Apple is losing its  cool  factor', 'Apple faithful line up for latest  larger iPhones']"
224,2014-09-22,-1,['U S  stocks drop on U S  data  small cap rout  Dow falls 0 62']
226,2014-09-24,-1,"['Taiwan probes Xiaomi on cyber security', 'BlackBerry launches square screen Passport in turnaround push', 'Apple iPhone rollout marred by  bendgate   dropped cell service', 'New  Bash  software bug may pose bigger threat than  Heartbleed ', 'At L A  Clippers  Steve Ballmer prizes team tested by adversity']"
227,2014-09-25,-1,"['U S  stocks plummet on Russia move  iPhone glitches  Dow drops 1 54', 'Apple plays defense on iPhone 6 bending  software concerns']"
228,2014-09-26,1,"['BlackBerry cuts loss and sees rising sales  shares jump', 'Alibaba options set for strong demand on market debut', 'Apple says  Shellshock  no risk to vast majority of Mac users']"
229,2014-09-29,1,['EU watchdog to give detail on Apple and Fiat tax investigations']
230,2014-09-30,-1,"['China OKs iPhone 6 sale after Apple addresses security concerns', 'EU says Ireland tax deal with Apple was state aid', 'Wall St  ends down for day  month  indexes gain in quarter']"
231,2014-10-01,-1,['WiLan says loses LTE patent case against Apple']
232,2014-10-02,1,['Apple  Google  Amazon Under Fire In Australia For Tax Practices']
233,2014-10-03,1,"['Wall St  rallies  S P 500 posts best day since August', 'Exclusive  Facebook plots first steps into healthcare']"
235,2014-10-07,-1,[' Hairgate   iPhone hit by new social media storm']
236,2014-10-08,1,"['Icahn tweets he will send open letter to Apple', 'S P 500 has best day in a year following Fed minutes', 'GT Advanced bankruptcy offers warning to Apple suppliers', 'HTC CFO says company will not need to tap markets in 2015']"
237,2014-10-09,-1,"['Icahn urges  undervalued  Apple to buy back more shares', 'Wall Street sells off on growth concerns  volatility picks up', 'Apple supplier GT to drop sapphire ops  asks bankruptcy plan remain secret', 'Tech manufacturer Hon Hai says resolved strike at China factory', 'Apple delays production of larger iPad  WSJ', 'Google wins bid on which court to fight Rockstar over patents']"
238,2014-10-10,1,['GT to cut jobs  wind down sapphire plant  takes aim at Apple']
239,2014-10-13,-1,['New iPhones to be available in more than 115 countries by year end']
240,2014-10-14,-1,"['French bank turns to Twitter for money transfers ', 'Apple  Facebook will pay for female employees to freeze their eggs', 'New Poodle web threat not seen as menacing as Heartbleed  Shellshock']"
241,2014-10-15,-1,['U S  chipmaker Qualcomm hopes for knock out blow with  2 5 billion CSR bid']
242,2014-10-16,1,"['PayPal spinoff seen critical for eBay amid e commerce weakness', 'Apple s new iPads sport modest upgrades but short on  wow ', 'FBI director warns new phone encryption could thwart probes', 'Twitter lets users stream music  audio via SoundCloud tie up']"
244,2014-10-20,1,"['Solid data  earnings push world stocks higher', 'U S  stocks end higher despite drag from IBM ', 'Apple s iPhone sales beat Street but iPad volumes slide']"
245,2014-10-21,-1,"['Brighter China data fails to lift stocks  dollar sags ', 'Smartphone repair company B2X steps up expansion with Indian deal', 'China backed hackers target Apple s iCloud users  blog']"
246,2014-10-22,1,"['Hitachi Maxell cuts profit forecast  reduces headcount in battery unit', 'Upbeat earnings  hopes of more ECB stimulus lift mood in Europe', 'Apple CEO discusses security with top Chinese official amid hacking claims  Xinhua']"
247,2014-10-23,1,"['Apple ponders sapphire options  leaves door open for GT', 'Gemalto reaffirms goals after third quarter sales rise']"
248,2014-10-24,1,['U S  TV startup Roku to confidentially file for IPO  WSJ']
249,2014-10-27,1,"['CVS Health  Rite Aid block Apple Pay in their stores  NYT', 'Exclusive  Amazon buys comedy service Rooftop Media to expand digital content']"
250,2014-10-28,1,"['Alibaba s Ma says open to working with Apple on payments', 'Apple CEO fires back as retailers block Pay', 'GT Advanced sought to avoid costly battle with Apple  filing']"
251,2014-10-29,1,"['Visa sees mobile payment as big growth driver', 'Wal Mart and allies in face off with Apple Pay over mobile payments']"
252,2014-10-30,1,"['MasterCard profit beats driven by international business', 'Apple s Cook   I m proud to be gay ', 'Samsung seeks smartphone revamp to arrest profit slide']"
253,2014-10-31,-1,"['Leaner Sony gains smartphone lift despite its own mobile malaise ', 'Samsung says Microsoft deal invites  charges of collusion   filing']"
254,2014-11-03,1,"['Apple plans investor call ahead of a potential bond sale  WSJ', 'Factory growth ebbs in Europe   Asia  making case for more stimulus', 'Former Adobe exec s start up seeks to improve the mammogram experience']"
255,2014-11-04,-1,['Wider U S  trade deficit  weak exports point to slower growth']
256,2014-11-05,-1,['Palo Alto Networks discovers new malware targeted at Apple devices']
257,2014-11-06,1,"['Amazon launches a speaker you can talk to', 'Apple blocks malware targeting products in China']"
259,2014-11-10,-1,"['Apple iOS bug makes devices vulnerable to attack  experts', 'Exclusive  Apple s enterprise assault gets into higher gear']"
260,2014-11-11,1,['Apple must face U S  lawsuit over vanishing iPhone text messages']
261,2014-11-12,1,"['BlackBerry set to map out enterprise strategy at San Francisco event', 'Dow  S P 500 dip  end 5 day streak of closing highs']"
262,2014-11-13,1,"['U S  government warns on bug in Apple s iOS software', 'Mobile game startup Scopely raises  35 million to offer more titles', 'Russia s Mail ru buys maps service company to lure mobile users', 'Dow at record but S P flat as energy weighs']"
263,2014-11-14,1,"['Ukraine and Russia take center stage as leaders gather for G20', 'EU says Starbucks   very low  Dutch tax deal may be illegal', 'Nokia says vanishing consumer brand may return', 'Samsung Electronics chases curved smartphone wave to beat flat screen crowd', 'Wal Mart s Vudu joins Disney s cloud movie service']"
265,2014-11-18,1,['Nokia revives the brand with launch of iPad lookalike']
266,2014-11-19,-1,['Republicans block overhaul of NSA surveillance reform']
267,2014-11-20,1,"['Intel gives upbeat outlook for 2015 revenue  stock gains', 'Hon Hai  Innolux to invest  2 8 billion in Taiwan flat panel plant', 'Google  Rockstar agree to settle patent litigation  filing']"
268,2014-11-21,-1,['Apple  450 million e book settlement gets final court approval']
269,2014-11-24,1,['S P 500 ticks up to record on central bank bets']
272,2014-11-28,-1,"['Poor performance catching up with active stock fund managers', 'Germany backs Blackberry s purchase of Secusmart']"
273,2014-12-01,-1,"['Samsung Electronics mobile chief survives reshuffle despite weak figures', 'Wall Street falls in broad decline  Apple stumbles', 'Apple tumbles as much as six percent in unusual trading']"
274,2014-12-02,1,"['Samsung Electronics exits fibre optics amid sharper focus on reviving smartphones', 'Misfit Wearables raises  40 million from Xiaomi  other Chinese firms', 'Steve Jobs emails featured in Apple iPod U S  antitrust trial']"
275,2014-12-03,1,"['Sony Pictures struggles to recover eight days after cyber attack', 'Samsung mobile executives to leave after profit slide  source']"
276,2014-12-04,-1,"['Samsung asks appeals court to throw out  930 million damages in Apple infringement case', 'Barnes   Noble  Microsoft end Nook Media pact ']"
277,2014-12-05,-1,['Taiwan probe finds 12 smartphone brands violate privacy rules']
278,2014-12-08,-1,['S P 500 posts worst day since October  energy shares sink']
279,2014-12-09,1,"['U S  top court rejects worker pay for security screening time', 'S P 500 erases early losses to end flat  energy  tech up', 'PM Abe says Apple to build technical center in Japan']"
280,2014-12-10,-1,"['Dr  Phil s startup launches video visits with U S  therapists', 'Morgan Stanley fined  4 million over rule lapse']"
281,2014-12-11,-1,"['Hon Hai unit to close India phone plant on shift in client base', 'Ford reboots touch screen system with new Sync 3', 'Canada competition watchdog investigating Apple supply deals', 'Senator Hatch sees hope for tech immigration bill in new year']"
282,2014-12-12,-1,['Apple pacts in Canada may have raised prices  court filing']
283,2014-12-15,-1,"['Ex Google employees launch app to make you smarter about health  fitness', 'Apple antitrust case over iPods nears jury deliberations', 'GT Advanced Tech modifies bankruptcy deal with Apple', 'Diverse allies rally for Microsoft in overseas data fight', 'Sony hacking highlights challenge to CEO Hirai s  One Sony  vision']"
284,2014-12-16,1,"['Imagination Tech sees  significant  improvement ahead after profit fall', 'China s Xiaomi booked  56 million profit in 2013  filing']"
285,2014-12-17,1,"['Apple says online store in Russia is down due to ruble fluctuations ', 'Apple wins digital music U S  antitrust trial', 'Canada court to order Apple to turn over records in iPhone probe']"
286,2014-12-18,1,"['Apple s Cook makes  substantial  donation for gay rights in U S  South', 'Exclusive  Google aiming to go straight into car with next Android   sources', 'Wall Street gains sharply for second day  tech shares lead']"
289,2014-12-23,-1,"['Apple Pushes First Ever Automated Security Update To Mac Users', 'GT Advanced to sell its sapphire furnaces', 'Huawei s smartphone sales shoot up after copying Xiaomi s online strategy']"
291,2014-12-26,1,"['U S  retailers miss fewer Christmas deadlines  early surveys', 'Big questions for markets for 2015']"
292,2014-12-29,1,['China s Xiaomi raises  1 1 billion from investors at  45 billion valuation']
293,2014-12-30,-1,['Taiwan says Xiaomi  other smartphone brands don t breach privacy rules']
294,2014-12-31,-1,"['China s Huawei 2014 smartphone sales rise by a third', 'Sony s  Interview  lands on pay TV and in 580 theaters', 'Samsung Electronics says new smart TVs in 2015 to run Tizen platform']"
296,2015-01-05,-1,['Facebook acquires voice recognition firm']
297,2015-01-06,-1,['Sony CEO praises employees  partners for standing up to hackers']
298,2015-01-07,1,"['Audio equipment maker Monster sues Beats over alleged fraud', 'Police in China disclose contract for mobile phone snooping']"
302,2015-01-13,-1,['Apple granted patent for GoPro like wearable cameras']
303,2015-01-14,1,"['Apple sues Ericsson over LTE wireless telecom patents', 'Ericsson files complaint against Apple over tech license payments']"
304,2015-01-15,-1,"['Exclusive  Samsung talks to BlackBerry about  7 5 billion buyout   source', 'China s Xiaomi challenges iPhone 6 Plus with new flagship Mi Note', 'Digital Ally considers push into action cameras']"
305,2015-01-16,-1,"['China s Xiaomi to invest in Indian start ups  overseas content', 'Google in talks to buy mobile payments company Softcard  TechCrunch']"
307,2015-01-21,1,"['Samsung drops Qualcomm processors in next Galaxy S  report', 'SanDisk warns of weak first half of 2015  hurt by lean inventory', 'Microsoft springs hologram surprise  but long way to reality ']"
308,2015-01-22,1,"['iPhone 6 hands Apple record share of Samsung s home market', 'Sony s  The Interview  surpasses  40 million in digital sales']"
309,2015-01-23,1,"['Online data storage provider Box s shares soar in debut', 'Ford opens new Silicon Valley research center']"
310,2015-01-26,-1,"['Huawei says consumer business group targets  16 billion revenue', 'Asian shares gain on easy monetary conditions  Apple earnings eyed']"
311,2015-01-27,-1,"['Dow Plunges 300 Points On Weak Earnings  Data', 'Apple takes top spot in Chinese smartphone market   data firm', 'U S  multinationals hit hard by strong dollar  to bleed further into 2015', 'Wall Street falls 1 percent on earnings  Apple rallies late', 'LG Display fourth quarter profit at four year high  2015 growth seen strong', 'Sony to cut 1 000 jobs in smartphone business  sources', 'Apple supplier Foxconn seeks to slim workforce over time  eyes robotics', 'Asian shares weaker in follow on to Wall Street  eyes on Fed ahead', 'Tencent  Alibaba lead China s top brands as tech dominates', 'Apple Supplier Foxconn To Shrink Workforce As Sales Growth Stalls']"
312,2015-01-28,-1,"['U S  stocks lower at close of trade', 'Wall Street ends lower after Fed statement  oil drop', 'Samsung Electronics fourth quarter profit meets guidance  outlook cautious', 'Apple takes high road in China smartphone standoff with Xiaomi', 'Apple shares rise sharply after blockbuster earnings ']"
313,2015-01-29,1,"['Microsoft gives away more Office software to attract mobile users', 'Apple takes top gifting spot in China  report', 'Zero profit growth expected for U S  companies in first quarter', 'Wall Street finishes higher in afternoon rally as oil gains ', 'Asian shares edge up after Wall Street gains']"
314,2015-01-30,-1,['Broadcom s fourth quarter results exceed expectations']
315,2015-02-02,1,"['Apple to invest  2 billion to convert sapphire plant to data center', 'Lenovo quarterly revenue jumps 31 percent  tops expectations']"
316,2015-02-03,1,"['Japan tech strategy shifts see Sharp skid as Panasonic prospers', 'ARM Holdings unveils beefed up smartphone chip design']"
317,2015-02-04,1,"['Seacrest s Typo products fined over BlackBerry injunction', 'Paypal s retail chief quits ahead of eBay split']"
318,2015-02-05,-1,"['Display makers look to next generation cars to drive growth', 'Twitter tops Wall Street revenue target  user growth slows', 'Swatch says to launch smart watch in next 2 3 months', 'Exclusive  Apple s health tech takes early lead among top hospitals', 'Top Grammy contenders find grassroots strength in streaming']"
320,2015-02-09,1,['Amid mobile slump  Samsung needs more outside customers for its chips and panels']
321,2015-02-10,1,"['Akamai revenue beats Street as media delivery product demand surges', 'Western Union beats on profit  to buy back  1 2 billion shares', 'Apple in big solar power deal  market cap closes over  700 billion']"
322,2015-02-11,1,"['ARM sees royalties accelerating with latest smartphone chips', 'Stock futures rise on Greek agreement after S P ends flat ', 'Icahn values Apple at more than  1 trillion', 'Apple deal  tax change could spark corporate solar stampede', 'Samsung Display to invest  3 6 billion in new OLED production line']"
323,2015-02-12,1,"['Apple s inability to monitor standards lets Pegatron pay low wages  NGO says', 'Apple  Google Deals Show Renewable Sector s Strength', 'US Stocks Soar To Highest Level In 2015', 'Obama to encourage companies to share cyber threat data', 'Apple  1 trillion stock market value could be years away']"
324,2015-02-13,-1,"['Apple hiring auto experts for secret research project  FT', 'Greenlight Capital scales back on Apple shares ahead of rally']"
325,2015-02-17,1,"['Samsung Electronics earmarking cash for growth  including MA', 'Apple orders 5 6 million watches  WSJ']"
326,2015-02-18,1,"['Sony sees 25 fold profit jump by 2018 through videogames  sensors', 'Samsung to buy mobile payment service provider LoopPay', 'Apple poaching auto engineers to build battery division  lawsuit']"
327,2015-02-19,-1,"['Irish regulator of Apple  Facebook eyes power to levy huge fines', 'Apple wants to start making electric vehicles as early as 2020  Bloomberg']"
328,2015-02-20,1,"['Japan Display in talks with Apple to build iPhone screen plant  source', 'Hack gave U S  and British spies access to billions of phones  Intercept', 'Apple hiring big brains in car battery space']"
329,2015-02-23,1,"['Apple to spend  1 9 billion on new European data centers', 'Nasdaq ends up 9th session  S P 500  Dow dip with energy']"
330,2015-02-24,-1,"['Asia shares inch ahead  hostage to Fed outlook ', 'U S  raises concerns over  made in Indonesia  smartphone law']"
331,2015-02-25,-1,"['Apple ordered to pay  533 million for patent infringement', 'Google expands push into workplace with Android for Work effort', 'S P  edge down with Apple  Dow ends at record high']"
332,2015-02-26,1,"['Samsung Elec to freeze salaries in South Korea for first time since 2009', 'Apple to hold event on March 9  as Watch launch nears', 'Falling oil prices push Dow Jones lower']"
333,2015-02-27,-1,"['China draft counterterror law strikes fear in foreign tech firms', 'Icahn s investment fund posts first loss since 2008 on oil plunge', 'Cook says Apple Watch will replace car keys  Telegraph', 'Wall Street ends down after data  posts strong gains for month', 'Google submits plans to expand Silicon Valley headquarters', 'Apple faces second suit from victorious patent firm', 'Ericsson sues Apple for telecom patent infringement']"
334,2015-03-02,-1,"['Samsung unveils sleek new Galaxy phones to battle Apple', 'Nasdaq Hits 5 000 Milestone For The First Time Since 2000', 'NASDAQ clears 5 000 barrier  while Dow hits record high on Monday', 'Exclusive  Obama sharply criticizes China s plans for new technology rules']"
335,2015-03-03,1,"['Sharp planning to tap banks for second bailout in three years', 'Exclusive  Huawei plans big push to sell its phones  wearable devices in U S ', 'BMW CEO sees challenges mounting for successor', 'Apple edges out Samsung in global smartphone sales  Gartner', 'Apple plans fix next week for newly uncovered Freak security bug', 'Apple exploring settlement with electric car battery maker']"
336,2015-03-04,-1,"['Judges wary of Apple s claims of phone patent harm by Samsung', 'Report  HBO and Apple near partnership on video streaming service', 'HBO in talks with Apple  Google to launch streaming service  reports']"
337,2015-03-05,-1,"['Self driving cars could generate billions in revenue  U S  study', 'U S  stock markets avoid first three day losing streak since early January', 'Apple delays larger iPad production till September  reports']"
338,2015-03-06,-1,"['Apple lets companies fine tune apps before watch debut  Bloomberg', 'Apple Pay stung in transactions using data stolen from retailers  WSJ', 'Microsoft warns Windows PCs also vulnerable to  Freak  attacks', 'Wall Street ends lower as jobs data may bring rate hike sooner', 'U S  stocks fall sharply after stronger than expected jobs report', 'Data brings more focus on timing of U S  rate hike   ']"
339,2015-03-09,-1,"['Gold rebounds after precipitous fall on Friday', 'Apple s ResearchKit to give scientists ready access to study subjects', 'Wall St  rebounds on deal activity  Apple up after watch news', 'HBO standalone service coming to Apple devices in April', 'Apple s watch hasn t impressed the fashion world', 'Apple debuts  17 000 watch  some waiting for killer app']"
340,2015-03-10,-1,"['CIA sought to hack Apple iPhones from earliest days  The Intercept', 'Nasdaq looks different 15 years after its peak  then and now', 'Apple seeks to dismiss lawsuit filed by electric battery maker', 'Developers wrestle with making  killer app  for Apple Watch', 'Fidelity tech fund trounces all rivals without holding Apple', 'CIA sought to hack Apple iPhones from earliest days  The Intercept', 'Apple Watch not yet setting Chinese pulses racing ']"
341,2015-03-11,-1,"['Google change allows company statements to top news searches', 'Apple says iTunes  App Stores down for all users', 'Apple s iTunes  app stores back online after 12 hour outage']"
342,2015-03-12,1,"['Swatch CEO says doesn t want to produce mobile phone for wrist', 'China s SAIC Motor  Alibaba to invest  160 million in Internet connected cars']"
343,2015-03-13,-1,"['Exclusive  Microsoft s digital assistant to head to Android  Apple devices', 'Apple pies and iPads sweeten China s dreaded TV expose', 'EU ministers to give more power to pan European data protection body', 'Weak euro to help European companies  force U S  rivals to adapt', 'Exclusive  Apple Watch not on shopping list for 69 percent of Americans  Reuters poll', 'China puts tech bill that concerns West on hold  U S  official']"
