Text,Sentiment
I repeat global economy go get better year go C instead BAC,1
I aapl bull break trend line OBV,-1
GOOG go ONG close 725,1
AAP move volume could cope descend trend line Trend still Perhaps 460 impossible,-1
GS like price action So far hold 130 Still decide whether go ONG call stock,1
AAP 50EMA continue work AAP make lower highs MACO sense,-1
SBX buy clear resistance 54 5,1
Went short SPY yesterday pick AAP instead Still think market need move bite resume move upside,-1
NEW target AAP notice shakeout read 8 49 buy dot Monday,1
AAP people realistic Market undecided apple Earnings lift cloud If GOOD might EAY see reversal,-1
AAP obbers hit Apple Store Paris Prefer take merchendise cash Bullish,1
Will watch close carefully decide whether ONG SHOT AAP Below 530 SHOT,-1
AXA Here tip day Buy You even sign newsletter anything O If I wrong I eat crow,1
SPY give AAP finger We care anymore lol,-1
X due move today Kirby daily around 26 00 still swing,1
AMZN alert update last minute push try shake put hang,-1
AAP 10 min short win long fully add look pop market shakeout reset,1
user make BBY offer shave 4 offer price Bid go 24 26 20 matter months,-1
NG stellar move still long swing full position I believe user user 2,1
WPI short candidate list miss get start short today,-1
ATICE TADE SETP KO AN CNX,1
Short HT 200 SMA stop high day First target 53 95 Second target 53 21 gap fill,-1
IDCC 50SMA act good support Short term momentum indicators switch upside,1
NVDA love see momo next week like previous histogram bar note,-1
NEW POST BAC Is At 19 Month Highs But Showing Signs Stress,1
HMA unusual option activity Trader buy 11k Jan 9 Put Short term bear play,-1
c two daily bull flag top bullish still,1
NVDA ooks bullish must stay 13 05 close basis monthly EPS say,-1
NG traditional AT point figure bullish BY signal multiyear high,1
HOTT Failed breakout,-1
jpm close 10sma Monday know rule large cup n handle still bullish,1
ZN F tick I would seller SDJPY I already,-1
EOG ascend triangle original target 127 extension EPS Feb 11th position swing,1
ZNGA Fat juicy Short back lower level close Gap 2 72,-1
aapl daily break downtrend close price w v pattern back play 600 target,1
ZNGA Still show red dead enko view PF Box size 0 25,-1
BAC In 11 97 trade,1
NVDA enko view show red dead need 14 long less 13 short,-1
When AMZN monetize electronics make traffic marketplace AAP GOOG wake say buy EBAY,1
GOOG And enko w PF Box size 50 look like fail breakout,-1
CVI start clean book make first buy yr entry 49 54 stop 47 43,1
user ZNGA I use lag indicators lag stock,-1
SAM cheer temporary solution economic woes entry 139 81 stop 131 92,1
user BAC Yeah make easy profit slash job close win win sales,-1
AAP GOOG respond positively good jobless claim number,1
FE look like fire sell signal Friday may trade short tick Friday low work utilities later,-1
Analyst price target earn target come EXACTY want see prior AAP report,1
Time contraction AAP test 500 week Weds long Jan11th put spread,-1
user Nice Color INTC bull well,1
ko trouble stay 200 day sma past weeks could short higher stop 38,-1
Heads p AA Earnings ess Than Week Away Tho The Season EAY Begin Cranking Til w GS JPM EBAY et al,1
mako red day monday break support could test old low 9 9 25,-1
trade idea buy WO market 26 64 target 36 cut 23 50,1
Trading environment favor long side stay welcome Too quality leaders GS AMH OCN EGN HOV AAP,-1
Trade idea buy DC market 58 50 target 67 cut 53,1
DT Descending triangle ower highs participate well rally overbought,-1
GOOG look set make new ATH Now E unknown,1
I think AAP head back check 506 support,-1
GOOG trade one long verse 10sma,1
See risk ES F 1442 00 1423 75 bearish momentum divergences resolve SPX SPY stock,-1
FNF ong 19 43 Trailing Stop 21 04 6 prior Stops 19 71 19 52 18 70 18 65 18 07 17 87,1
Green Weekly Triangle HEO pdating,-1
FOD see solid move tom system predict nice green candle,1
AAP close short nice gain,-1
This year fitness health apps winners gynormous speculation run high nke,1
The awesome AAP trendline ever Since 1986,-1
time invest MSFT COMPQ,1
Green Weekly Triangle KTOS pdating,-1
New Post Shorts Will Make Dimes ongs Will Make Dollars AAP SPX QQQ P,1
I show MA Friday upside orange dot traget 517 hit morn red dot,-1
nbelieveable payment trend VC chase easily play public market EBAY V Mastercard MA time highs,1
PG short back,-1
Some watch list stock trigger today OEX AGNX TV VBD XIDE PPC EXP ONTY BMN FS WK CHMT FBC ISI AIG,1
OVTI downgrade Sept 7th 16 77 Q1 look good next file Q3 end february,-1
Nice Bull flag breakout OC technology software,1
VS option trader sell 26k 47 25 52 25 call spread March Big bet stock 47 25 March expiry,-1
My setup alert go bonkers today One many get trigger Cup Handle breakout PFE,1
AA option traders bet bad earn sell 6 200 Jan 9C buy 3 200 Jan 9P Could hedge stock Both trade low OI,-1
The host congrats cloud today AX user time highs wow,1
SKX Q3 operational cash flow negative 60million 80million decline vs Q3 2011,-1
X Did S Steel Just Breakout MT,1
SKX 9 mos 2012 operational cash flow negative 20 million 95 million decline vs 9mos 2011,-1
DNDN break clear 5 5 resistanc level heavy volume could head much higher,1
First trade come back vacation HOT short 59 80 Stop 60 30,-1
EXPE look good higher price,1
Green Weekly Triangle SCC pdating,-1
apc weekly set long,1
3 horsemen high beta momo chase FS GMC NFX slam bite advance tell new year party mrkt,-1
I go morning long 3 AAP 560 call options GOOG 725 call Jan 4th expiration,1
BA flush,-1
ES F path higher unthreatened unless 1452 25 support fail See resistance 1466 00 SPX stock,1
Financials XF drive mkt higher today weak ish except JPM 1st time little red flag 1,-1
Monitor S line dynamic Stocks close Dec 28 S line new highs be4 price MHO TSM IPGP EQIX BC BDC ASH,1
user scheplick easy short AMZN buy iPad Mini tax prep book Borders ackspace time,-1
DDD IDCC continue higher,1
Green Weekly Triangle AMPE Sell Short 4 15,-1
Had hop pick OST today look like I day late Nice move morning,1
Green Weekly Monthly Triangle FWS pdating Monthly,-1
AMZN go 260 Should go near 300 market behave weeks,1
user say ZAGG another 23,-1
Huston GEEN AAP,1
Green Weekly Monthly Triangle PAB pdating,-1
P long 9 55,1
userZN time bird fly south,-1
HN breakout 3rd day look pullback enter long,1
yum premarket cloud support 62 75,-1
NG ascend triangle much like FS X breakouts 127 exten 161 8 target fib subjective,1
Multi day downswing ES F favor see demand zone 1442 00 1423 75 SPX SPY stock,-1
KCG things make go hmmmm,1
FIN 9mos Operational cash flow decline 15million vs prior yr first 9mos 198 decline,-1
VNG Huge news patent attorney Dan avicher,1
AYI Q1 Operational Cash Flow turn Negative,-1
NG nhod check weekly target previous low 2006,1
AYI 1st negative operational cash flow quarter since quarter Novemebr 2008,-1
NG nhod see check weekly target previous low 2006,1
AYI 2013 Q1 operational Cash flow negative 14 5 million decline 41 million vs Q1 2012 152 decline,-1
P balance 32,1
fio nothing air stock 17 70 17 80,-1
VNG buy vs Sells,1
AAP daily fade motion people want still work,-1
BAC In 12 00 since consolidation level We could close 12 09 market stable pm IMHO,1
I short NFX 1 00 stop,-1
VNG Parabolic move comin,1
IHS year end operational cash flow decline 27 million vs 2011 8 19 decline,-1
like VS love WYNN 111 entry new target yesterday 121 nice,1
Watch XF JPM BAC OD closely,-1
DDD consolidate strong move previous days 55 60 next buy point 60 volume hold,1
SHD Get short someone big must exit imo Sitting 40 put,-1
VNG 12 mil share short plus long buy massive VNG short squeeze Just think story dead avicher kill short thesis,1
If would like gag New American Socialism enjoy video courtesy AIG,-1
AC watch list volume pick 139 full day average 200 day bounce,1
SHD die already ampert know 2 sh ts run retail He buy Sears property,-1
AMZN hold well next buy point clear upper trend line heavy volume,1
DECK Short 66 41 Trailing Stop 44 16 5 prior Stops 51 65 59 07 66 41 74 13 81 85,-1
MA exactly want see follow thru day break new highs volume,1
WFM short back,-1
ZCS user buy,1
SHD Eddie ampert 1 trick pony,-1
CWST low day 4 50 near high day 4 56 watchn b minimal risk,1
et angry anecdotal comment begin Why I still think BlackBerry I doom IMM AAP GOOG NOK T VZ,-1
BAC Keep Overniight mmy pos bin premarket Tmorrow,1
price alert go WWW desk,-1
Polk Expects 2013 S New Vehicle egistrations 15 3 Million Polk F GM I think low,1
GG delist soon typicall pump dump story last months careful one day trade mil next day ur stick,-1
Very bullish market also talk trend SCTY OST ANGI FIO PANW A JCP P YEP MNST GPN show,1
TSO option trader buy 10k Feb 40P 1 60 A 1 6 million bet stock 40 Feb exp Could hedge OI 544,-1
KCG someone buy 3 22k 4 Jan 18 Calls,1
DDD SSY Stops honor So Now must become bearshitter,-1
Man I know Skippy I make would throw jar H Hormel,1
MCP bottom 11 00 Strong esistance nder level short breakout Chance,-1
Big move bond today 7 months high 10 rate still go lower ZN F could get truly ugly good NFP number AM SPY TT,1
DDD look easy short,-1
Market Wrap Video Additions Watch ist include BCEI BJI CEE ES SONS SQNM NX YEP,1
NFX hear PJCO cautious follow comScore data Following Weak December Overall 4Q Traffic Again Turns Negative user,-1
Maybe vrng ask judge 7 royalty become risky goog deal want settle,1
Piper Jaffray make negative comment NFX CST ed Box comScore Q4 data weak edbox Netflix,-1
BJI Over 35 53 good volume,1
X option trader take profit Feb26P sell 8k 8k OI roll position Feb 25P buy 8K 1 48,-1
CEE Over 35 12,1
AA like SPIN operational cash flow,-1
SQNM Over 5 05,1
APO Q1 2013 operational cash flow 210 million 90million decline vs 2012 Q1 30 decline,-1
NX On flag break,1
ed Weekly Triangle AMS Net Profit 26 135 00 38 40,-1
3D Systems Brings Next Gen Consumer 3D Printing CES 2013 DDD,1
user jemberlin number good swing personally I hate AMD,-1
VNG w MACD turn signal line VNG could post nice rally current level,1
SPY SPX ES Green Hedges Stars model next stop 1410 56 SPX 1387 92 lower,-1
bbby 3Q 10Q Operational Cash Flow 135 million 53 increase vs year ago Q3 64 improvement q q,1
aa Q4 Operational CF decline 209m vs Q4 11 18 DECINE P Spin say higher Q3 2012 note Q3 12 263m less Q3 11,-1
DI 6mos operational cash flow 267 million increase 187 million vs 6mos year ago 233 increase,1
user PWE crazy HAO Green Weekly Triangle short long,-1
AM 3Q 10Q 9mos operational cash flow 32 million vs neg 26 mil 9mos year ago,1
fio bounce morning 25 short interest Still nothing air till 17 90s,-1
3Q operational cash flow neg 16 million vs year ago 3Q negative 68million 52 million improvement,1
tol doji yesterday could mean another lower high Wait close cloud go short,-1
A quiet Carl Icahn Bullish NFX short paranoid every close get acquire Think aapl msft amzn fb,1
HPQ Option traders buy 10k Aug 13P 78 780k bet stock 13 Aug expiration Could stock hedge,-1
user Phantom7 I call 4 ever since start thing 3 75 give KCG,1
NS Perfect day reversal candle dailies,-1
NX watch list small flag volume 26 ave full day good volume,1
WFM add small 89 prefer 90 91 level lay short,-1
GOOG poise clear next resistance buy add area watch action volume closely,1
CMG 5m descend triangle 9 avg volume,-1
GDP watch list slightly line 50 day EMA light volume 5 ave full day,1
SSYS maybe share outstanding short 11 million operational cash flow ttm trade 1 9 bil mkt cap,-1
Took profit DDD add break 60 volume,1
SSYS operational cash flow decline 42 ttm vs ttm,-1
CHK I look small risk position call Scalp maybe swing XE watch,1
Covering WAC short 47 15 look lower get book,-1
ONTY If holders would hold raise ask could really pop Going climb slowly regardless,1
VTX option trader buy 3 700 put spread April 48 42 strike Could big bet move stock hedge,-1
EOG PXD OAS energyswag,1
user I hate 3 average I end screw good NN,-1
JCP Keep eye triangle big short int 34 report Feb 27 cup handle DT ong,1
ed Weekly Triangle CTIC Net Profit 675 00 3 88 gly wait 3 months,-1
sell little goog first time,1
CW Clearwire Corp arge trade put show bearish interest despite DISH bid,-1
Nice cup handle breakout MCA,1
The bearish thing I see week good overall market JPM SPY ES F,-1
FAF new highs,1
user bullish sell always buy bearish market buy sell NX,-1
The Smith Corona ok AMZN,1
Just small dose reality CTIC,-1
VA ong 43 07 Trailing Stop 58 98 11 Stops 54 53 52 45 48 05 47 32 46 71 41 32 39 57,1
VS option trader close Feb 50C sell 12k 22k OI Opens position Feb 55C sell 23k hard bid vs OI 2 700,-1
AAP volume higher today monday Keep mind,1
Short YHOO,-1
HB A ong 73 67 Trailing Stop 71 92 3 prior Stops 70 86 68 64 62 41,1
dec 6 BB T CM initiate SSYS buy 68 wonder still buy 28 30 days,-1
The key panic AAP domain twitchy day traders robots long term hold fundamentals,1
user SSYS EACHED SI 80 Crash near,-1
NVDA 4 hour love see vol explode,1
user eaders EAD BAC On side Question Even AAP Broken since Week Medium Outlook look Bright,-1
VNG Take hard look GOOG FTC settlement patent FTC make GOOG play nice VNG Makes Sense,1
Green Weekly Triangle DEPO Scaling 6 40,-1
worry I go OCO 737 71 call GOOG door step nearly 40 move,1
Green Weekly Triangle FNFG Scaling 8 22,-1
VNG crazy anyone listen trade tool,1
user SHOT YHOO TO 0,-1
GOOG get fuel AAP reversal,1
WPI buy look counter trend possible bear wedge happy close 2 3 days 50sma evaluate,-1
NVDA answer question entry add red candle today ove flag,1
HA EPS estimate slash squeeze stock crash land look low 5,-1
AAP 950 lot bid Feb 580 call 9 50 might push stock create support 26 delta option,1
TSO Was long crack spread say low 30 Short VO good short,-1
MYE break,1
AAP No pain gain stay 500 mostly higher 580 go low 470,-1
QCOM introduce StreamBoost average home connect seven devices Internet,1
MGM Caught ange user,-1
ADBE option trader buy 5 300 Feb 39C OI 741 Bet stock 39 Feb 16th,1
user 3DTradingtrader I 3 1Mio expend race offer DEPO,-1
SQNM watch list line volume 86 ave full day,1
MCP Performing expect many red flag raise one last months many could say I tell,-1
INO Wow nice accumulation today heavy,1
SE SHOT CECO SM ACI DMND NS GCY BBG EF TM EOC XCO VCCF PQ AXAS PST P KCG MNTA NAV PAC,-1
GDOT nice bounce 50SMA ooks ready test recent highs,1
AAP daily pop vomit motion,-1
HMA ooking 10 head higher,1
MCP catch knife think survive define risk buy January 2015 EAP option forget till,-1
SPF ooking 9 head higher lower rat,1
AAP I see 1 3min candle row far,-1
GS JPM XF HOD hungry stock SPY,1
AAP go red amaze many time pattern repeat,-1
CHK weekly bullish engulf,1
user miss still go lower MCP,-1
GS look good head next week,1
Goodbye FAF act weak I never like anyway NEXT,-1
AAP know ipad minis stock everywhere go 8 different store none em stock,1
likin MSFT neg dvrgnce hammer today goin quadruple bottom Still long w stop,-1
As goog explode aapl implode MINTE 21 23 user vid years ago Mark nail subject,1
BAC wait setup ooks like retest 10 66 sure,-1
KKD Krispy Kreme Doughnuts Inc IC XChange Conference I ET,1
MCP lot red flag CEO abruptly fire without permanent replacement get attention,-1
Picked FS pullback due downgrade Held support close week First PT 37 30,1
AAP trim short exposure 516 level,-1
user I pick one I call KKD next food company make DPZ like run TWENTY13,1
AAP lower highs lower low intraday big near term support,-1
GS enko view GS PF Box size 5 show potential break 175,1
The cult Apple die AAP,-1
CSX enko view PF Box size 1 VEY bullish 21 coal stock confirm move rail,1
user sweet money I need another 1 8 scale Sell Short CSN,-1
user At 155 GS bullish fin rat low The FED Put,1
user user SHOT YHOO TO 0 ONE DOWN 19 TO GO lololol,-1
GOOG I like close 744 96,1
TE new short board utility sector,-1
FS b bull flag heavy vol etest support today light vol 41 short float,1
user Tr8r x nice face check next HBAN Green Weekly Triangle Sell Short,-1
MSFT gap close Continues base SI rise Nice pickup w stop major support 28 22 PT,1
Green Weekly Triangle HBAN Sell Short 6 69,-1
Financials continue rip Easy money C approach 43 PT,1
user yea CSN one whole portfolio scale always fix cost end profit,-1
VS follow throughs 10 DMA cross 200 DMA Trading MA Great setup,1
ES SPY SPX hold breakout ES futures,-1
New buy today watch list well NX 20 SONS YEP BCEI GDP AY SQNM Total trigger week 39 big week,1
WFM get much lift rally look like possible bear flag add short,-1
SBX SI EarthThis kind stuff make us perk sorry go bullish five wave 58,1
ed Weekly Triangle HEK Net Profit 4 539 00 10 84,-1
Can say brainier ong SBAC stock Feb collar protection,1
V interest reversal today,-1
Anyone say much svu would go even deal go 4 5 Not sure much upside leave,1
SDJPY No breakout close isk rally equity traders front ski earn ES SPY SPX,-1
NVDA bounce continue stock clear 200SMA 13 level ong,1
Green Weekly Triangle HEK Sell Short 3 96,-1
AXTI Momentum pick w MACD climb rise OBV indicator make new higher high week,1
Alarm bell ring DDD investors ed flag highlight detail well research article,-1
GDOT OBV move upwards mean big money move stock slowly ong,1
AAP Marketing Chief Phil Schiller resort cheaper iPhone expand market share ETES,-1
aapl daily see note,1
YHOO Cramer kiss death thank bro Can I get BAC JDS Cramer nudge user kifmonster,-1
AMZN daily see note,1
MGM hold long term resistance user MGM Caught ange user,-1
C daily see note,1
ES SPX SPY star 4hour,-1
EGOV long 16 62 strong MA rest room upper bolly absorb day atr,1
user TSO fool one day move esp large drop trend stop say I still good,-1
AA Fibs Friends,1
TSO user Attached show Fib old resistance stop upward move Will stay,-1
TSA Judge Dismisses Massachusetts State Automobile Dealers Association awsuit,1
Student Debt A Trillion Dollar Bubble SM NNI,-1
BAC trend appear slow yet prudent take profit time,1
msft take 26 29 gap fill jan 2012 26,-1
coh also get reject cloud still slight uptrend past buy enter cloud,1
JCP Cash flow distress That sound good BS downgrade sell,-1
yum look good cloud stop either 200 sma cloud target 50 sma,1
BAC It effect WFC SHOD half hour I moderately Bullish,-1
EQIX EXPE FB GS HOG MON PII QCOM QIH SODA Some ideas next week Favorite setup EQIX,1
AAP climb 525ish take small step backward wedge form Breakout imminent,-1
EQIX No position would like see breakout 216 50 Prefer consolidation though,1
AAP take short exposure,-1
AAP Bounce Coming,1
ed Weekly Triangle MH Net Profit 4 895 75 7 22,-1
FS en fuego,1
Green Weekly Triangle MH Sell Short 4 06,-1
AXA Over Sold Oscillating ange indicators suggest buy price hold prev close increase volume,1
GOOG average trade lag Actually near low Not want see Strong support 736 737,-1
A I hold check user Bullish MACD cross BBG COP ENI EOG JEC IG SFY XE XOP,1
OC osing mkt share JDS T look much lower price Will miss earn,-1
JDS beautiful trend 13 5 bring dip buyers,1
user 3DTradingtrader go 6 60 I sell DEPO,-1
After hour Most Advanced OPT MAKO FOD GNMK JDS EGE AMN PX AAY DDD SV PM BKS F,1
So much top action Shorting KEY 8 90 Shorting CAT 95 stop 95 6 ike trade A OT,-1
GOOG simple Fibonacci projections close 739 127 2 766 161 8 802,1
And go 520 level AAP,-1
Why I buy AAP Monday,1
WPI whoopie stock nickname,-1
userZN 263 Measured Move 307,1
MCP craters management tell biz suck sort red flag people call bullish bottom delusionnal youondrugs,-1
user The INO pipeline partnerships ni MK pretty much sum,1
DE Approaching next level Short back lower 61 8 Fib old,-1
AMZN data company retailer A new post,1
TAB user alexcampbello This street see hence lower go,-1
AAP amaze run since 2005 I think,1
AAP get price want add short close,-1
A Tale Two Stocks AAP GOOG SPY QQQ,1
HT bearish,-1
F Ford Powerful Bullish Pattern Dictates Price Direction,1
Green Weekly Triangle DN pdating,-1
CVA Over 19 00,1
cstr find support 26 ema nder 50 sma tho look short 26 ema add cloud break,-1
MCK Over 100 05,1
pnra miss one yest short side short 50 sma,-1
VMED know prefer 3 4 day pullback reverse maybe Mon Tuesday flag break sup,1
Although sound random AA earn like week SPX 0 62 next mo,-1
Just kid legible version Currently long FS tweet friday,1
O short setup signal fire like 50sma reject weekly monthly time frame look like weaken,-1
Ford perform well due Hurricane Sandy destruction F Palladium well PA Banks buy pick BAC C SAN GS,1
user ShadowTrade1134 I think fair analogy VHS beat Beta less expensive AAP,-1
GS buy pullback 133 bigger pullback 130,1
Bear flag,-1
CEG keep watch list,1
So I use Borders call showrooming hope work TGT nature retail change,-1
I wish TV would die already like Newspapers tell CBS ftw,1
AAP Trend emains Giving Another Sell Signal,-1
AMZN yap yap yap,1
user jmixer INO since Jan 7 green weekly I close long 0 67 broker share borrow,-1
SNDK pattern look interest Can successfully break gap time around,1
user jmixer I wait 0 57 charge weapon INO,-1
AMZN time highs pre market aapl still plunge interest trade day,1
IWD short 15 13 50,-1
user ONXX strong price vol expansion friday possibly look higher price another biotech 2 level,1
AAP Korea Hot Stocks G Display fall talk Apple order cut,-1
ZNGA Momentum build upside On watch,1
AAP IMM Apple reduce component order iPhone 5 weak demand WSJ say Party OVE,-1
ES watch list also fast move today volume 77 ave full day usually tiny volume,1
AAP love I,-1
TWI like long 24 short,1
Song AAP bull,-1
EOG 60 min pullback breakout watch position,1
AAP The thing ask today day buy Feb 480 put,-1
KCG 3 75,1
AAP 25 short cover blow system would route NYSEACA 0700 EST offerd 499,-1
ZCS almost hit stop loss glad see head back,1
AAP short cover,-1
V beautiful uptrend since June 12 Never break higher high higher low trend,1
CS play lower,-1
DDD ong 27 95 Trailing Stop 42 35 7 prior Stops 41 70 39 03 36 53 32 35 27 95 25 44 22 93,1
AAP Bearish News Bottom Or The Start New Downleg,-1
NX largest watch list gainer new buy Friday biggest mover today protect gain,1
Green Monthly Triangle CHTP Net Profit 11 664 75 115 73,-1
ak correct PPHM largest watch list gainer today though gap big open,1
AAP send reminder NOK,-1
AAP positive close 530 today bullish I look possible ONG set,1
CMG Still good low risk short descend trend line Core short Bear Calls,-1
CEG possible ONG today want play JPMOGAN BIOtech conference,1
BAC swing trade 8 Protecting profit,-1
FME ong 10 25 Trailing Stop 13 75 8 prior Stops 12 29 11 50 10 97 10 63 10 36 9 64 9 03,1
AAP appear drag QQQ SPY stockaction,-1
TO trigger 34 First target 34 55 90,1
ook long DE fix Miraculously HPQ DE Not QQQ XK,-1
SXC break key downward channel level ikely move much higher,1
user The rare earth business fundamentals terrible right MCP sort issue top compel,-1
must follow young man userZN data company retailer A new post,1
user Krisanti I mention AAP send reminder NOK,-1
ed Weekly Triangle SNSS pdating,1
Marc Benioff Has Swagger But What About That Income Statement CM,-1
BAC avrg 12 127,1
Green Weekly Triangle SHO pdating,-1
PODD break new 52wk highs decent base,1
AAP fill upside gap within hr take eternity close downside gap environment clearly bearish,-1
PNA look like solid set,1
GW Higher volume way news pump stock sound bullish,-1
Names buy pullbacks GS CEG FB F,1
bac fib level,-1
Amazon Breaks 1 600 adjust split via user AMZN,1
Triple bottom rare This third time AAP trade near 500 last 2 months Still many AAP fanboys AAP,-1
I Broadcast get long signal PCN cover discount buy need push,1
Going Private new Going Public DE,-1
AMZN VOME go big boys grab stock Higher price come,1
etail drill raise question XY XT TH SPX SPY M GPS,-1
TWI highs see since September,1
DE 5x vol many people go lose butt buyout,-1
user win gold 2011 stock contest w V win silver 2012 w TKC Will DDAIF call win 2013,1
AAP let us see say goodbye 500 today,-1
AMZN FB pick higher price week Both break considerable volume,1
I totally help beat revenues I I yoga bore western world bore well doritos,-1
Eceryone want piece PCN gorwth magic stake high innovation fast market stake high,1
Why take AAP index hold everyone back Slacker,-1
Might open position S today Cup handle make one fly 7 7 5 quickly,1
Green Weekly Triangle SONC Sell Short 10 96,-1
CS KOS positive nice reversal KOS,1
user DE 14 75 would fill huge gap lol good luck,-1
AXP try make move Getting interest,1
ssys website investor relation page use morningstar stats quote mkt cap MON Statistics wrong r share way,-1
MA strong follow thru day break new highs last Friday confirmation solid,1
user error Morn data update share outstanding equal 41 million 21million mkt cap 3 4 bil 1 8 bil,-1
V new highs look higher price,1
user stumble upon data discrepency SSYS On MON YHOO ssys website say 21m share really 41m share,-1
CEG strong breakout new highs today 2x daily avg volume ooks good upside,1
SNTS Getting put open eally please decision come hours Allows much better entries position,-1
WETF cheap financial stock try b Would like see pullback first,1
AAP need hold 500 could see lower price Earnings within couple wks,-1
NFX short paranoid every close buyout come 1 night aapl msft goog amzn etc dominate webtv long nflx,1
DE outside bbands I believe pull bite,-1
As last 3 sessions last hour buyers back money need put work money flow SPY TT ES F,1
AAP take remain short,-1
user The stock tell us anything new trend say lot This E AAP anticipate years,1
CSN sell short 9 38 scale,-1
All rax set spy,1
AMPE sell short 4 48 scale,-1
PCN long entry,1
So sure Everyone short AAP make money Everyone go jump market crash Debt Ceiling Perfect,-1
744 96 IS A great level close GOOG,1
DEPO sell short 6 43 scale next level 6 27,-1
AAP short term outlook 3 possible scenarios 2 bullish,1
AAP Study These easons Why Apple Failed Where Going STDY,-1
Barclays upside case CSOD year end price target 46 Based 8x cy 14 revenues 10 upside estimate Quite achievable,1
reason try get cute try aapl long stick trend rev hold 489 500,-1
CTXS conservative swing bounce nicely support w MCP aggressive swing however strong probability,1
user lot I want cover 3 88 I complete 25 35K share AMPE,-1
VVS Technicals positive continue climb SI OBV MACD look good,1
AAP Just break downward triangle come massive head shoulder This thing toast,-1
AKX b 13 78 like base action spot decline vol ripe pop,1
AAP The number one problem earn expectations way high smart money know,-1
HAO b 7 20 price reject 7 19 today also high,1
AAP dump close still see go sub 400 maybe earn report wk two GY TOWN,-1
HWAY b 11 08 nice base spot,1
ed Monthly Triangle CYTX Net Profit 9 845 00 11 01,-1
MON make sales buyers weakness look like game,1
Green Weekly Triangle CYTX Sell Short 3 02,-1
526 20 bid hit aapl expect least move 540 today,1
AAP Probabilities rise test 2003 trendline ST Mean reversion pts 350,-1
MON 2013 Q1 operational cash flow 1 569 billion 459 million increase vs 2012 Q1 41 increase,1
WFM look like bear flag short respect flag exit close,-1
CTIC get long,1
AAP If break 5 year support line Apple would depend iTV take 52wk h,-1
Catch user Hot ink totally hook morning many great read AAP MACO,1
AAP trade close point figure trend line support Next target 470 trend support,-1
unit cost 1 60 see bounce CTIC,1
CIE COX CMG get smack open,-1
little whip pop drop go one purchase avg day limit exposure portfolio CTIC,1
SSYS postpone Q4 release Feb approx March 4th,-1
MON add,1
Check list top performers since AAP peak user Dogs like FS DE 80 NFX Please,-1
JNP add,1
GOOG AMZN show early weakness,-1
X add,1
