Date,Sentiment,Text
2014-06-03,1,U S  futures edge lower despite Chinese data  Dow Jones down 0 10
2014-06-06,-1,U S  futures edge higher  employment data in focus  Dow Jones up 0 22
2014-06-06,-1,U S  stocks open higher on jobs report  Dow Jones up 0 31
2014-06-09,1,U S  futures hold steady in thin trade  Dow Jones down 0 05
2014-06-09,1,U S  stocks little changed in thin trade  Dow Jones up 0 02
2014-06-09,1,Apple s Share Split Hits The Market Monday
2014-06-10,-1,U S  futures edge lower but remain supported  Dow Jones down 0 12
2014-06-10,-1,U S  stocks hold steady in light trade  Dow Jones down 0 04
2014-06-10,-1,EU To Launch Investigation Into Apple s Irish Tax Deal  State TV
2014-06-25,0,U S  futures steady with eyes on GDP data  Dow Jones up 0 03
2014-06-25,0,U S  stocks edge higher despite weak data  Dow Jones up 0 07
2014-07-03,0,Apple Headed For  115 A Share As Its iPhone Sales Outpace Rival Samsung  Analyst
2014-07-03,0,Amazon s Luxembourg taxes under scrutiny  FT
2014-07-08,-1,Car maker Tesla sued in China for trademark infringement 
2014-07-09,0,Apple loses China patent case  separate suit against Apple continues
2014-07-10,1,U S  futures fall on Fed meeting minutes  Dow Jones down 0 77
2014-07-10,1,U S  stocks open sharply lower  Europe weighs  Dow Jones down 0 91
2014-07-10,1,U S  sues Amazon over purchases by kids using mobile apps
2014-07-11,0,Amazon Sued By FTC Over Unauthorized In App Purchases
2014-07-11,0,Apple iPhone a danger to China national security  state media
2014-07-11,0,The World s Worst Corporate Human Rights Violators
2014-07-14,1,Hack A Tesla  Win Some Cash
2014-07-14,1,Samsung Case Shows Difficulty Of Holding Supply Chains To Standards
2014-07-16,-1,Global business leaders push for infrastructure funding overhaul
2014-07-16,-1,Samsung battles on two fronts as Apple readies iPhone 6
2014-07-17,-1,Apple IBM deal dents BlackBerry s prospects  slams stock
2014-07-17,-1,Apple appoints BlackRock founding partner to board
2014-07-17,-1,Next generation iPhone to enter mass production this month  media
2014-07-21,-1,Apple asks suppliers to produce up to 80 million large screen iPhones  WSJ
2014-07-22,0,Earnings Buzz  Verizon  Comcast 
2014-07-22,0,Apple revenue lags Street s view despite strong China growth
2014-07-22,0,Apple Bruised By Disappointing Earnings Report
2014-07-23,1,Apple pushes S P 500 to record close  Boeing hits Dow
2014-07-24,0,In China  Apple s focus pays off while Samsung feels squeeze
2014-07-24,0,European stocks rise on euro zone data  sanctions hit Russia
2014-07-24,0,Facebook shares hit record high as market likes earnings
2014-07-25,1,With sales sputtering  Apple s iPad looks to IBM alliance
2014-07-25,1,Apple iPhones allow extraction of deep personal data  researcher finds
2014-07-29,-1,BlackBerry buffs up security credentials with Secusmart deal
2014-07-29,-1,Microsoft gives employees sneak peek at new  selfie  phone
2014-07-30,0,Russia wants Apple  SAP to cooperate against foreign spying
2014-07-31,-1,Layoffs At Apple Imminent After Record Acquisition  Report
2014-08-01,1,U S  futures decline ahead of jobs report  Dow Jones down 0 67
2014-08-01,1,U S  stocks mixed after employment data  Dow Jones down 0 20
2014-08-01,1,Apple  450 million e book settlement wins court approval
2014-08-05,0,BlackBerry closes chapter on restructuring process   internal memo
2014-08-05,0,Apple to hold iPhone related media event on September 9  Re code
2014-08-05,0,Samsung Electronics  Apple call end to patents war outside U S 
2014-08-05,0,Tesla resolves trademark dispute in China
2014-08-06,0,Samsung s next reinvention challenge  itself 
2014-08-06,0,After Hours Buzz  Sprint  Apple  T Mobile  IBM
2014-08-11,1,For largest U S  companies  jobs growth has lagged profits  revenues
2014-08-13,1,Amazon com takes on PayPal  Square with credit card reader
2014-08-14,0,Top U S  hedge funds up Dollar General  Walgreen stakes 
2014-08-15,0,Apple begins storing users  personal data on servers in China
2014-08-19,1,Wall St  extends rally  lifted by Apple and Home Depot
2014-08-21,0,5 Stocks That Could Surge After The iPhone 6 Release
2014-08-26,-1,Apple planning 12 9 inch iPad for 2015  Bloomberg
2014-08-28,1,New iPhones expected at Sept  9 Apple event
2014-08-29,0,U S  futures rise as upbeat data still supports  Dow Jones up 0 18
2014-08-29,0,U S  stocks open higher  UoM report ahead  Dow Jones up 0 09
2014-08-29,0,Microsoft will not hand over overseas email  despite order 
2014-09-03,-1,Wall Street ends mixed as Apple weighs on Nasdaq
2014-09-03,-1,Apple shares slump ahead of September 9 iPhone launch
2014-09-04,-1,Asia stocks mostly lower  Nikkei falls 0 3  after BoJ
2014-09-04,-1,U S  watchdogs accuse Chinese Apple supplier of unsafe work conditions
2014-09-05,0,Apple to add security alerts for iCloud users  says Cook  WSJ
2014-09-05,0,U S  futures edge lower on Fed speculation  Dow Jones down 0 33
2014-09-05,0,Apple s rivals hope its iWatch makes  wearable  work 
2014-09-05,0,U S  stocks open lower on nonfarm payrolls miss  Dow Jones down 0 17
2014-09-05,0,Apple says its systems not to blame for celebrity photo breach 
2014-09-05,0,S P 500 ends at record as jobs report eases Fed worries
2014-09-08,-1,Showtime for Apple  Big phones  smart watches and high expectations
2014-09-09,-1,Apple counts down to launch of smartwatch  bigger iPhone
2014-09-09,-1,Wall Street ends lower as Apple falls  bond yields rise
2014-09-10,1,Apple gives NFC chip technology a prized seal of approval
2014-09-10,1,Shares fall  yields rise as Fed  Scotland dominate
2014-09-10,1,Apple Pay s Big Pay Off
2014-09-10,1,Wall Street ends higher after two days of losses as Apple rebounds
2014-09-11,1,Icahn wins three board seats at Hertz  shares jump
2014-09-11,1,S P 500 rebounds with energy shares  Dow dips
2014-09-12,0,China s iPhone delay gives smugglers reason to cheer
2014-09-12,0,Wall St  declines with energy  ends five week string of gains
2014-09-12,0,Microsoft needs Minecraft to boost mobile ambitions 
2014-09-12,0,Larger Apple iPhone shipments delayed amid record orders
2014-09-15,-1,Exclusive  Two Apple medical trials shed light on how HealthKit will work
2014-09-15,-1,Microsoft to buy Minecraft maker Mojang for  2 5 billion
2014-09-15,-1,Nasdaq slumps to worst day since July  S P 500 dips
2014-09-16,1,Wall St  climbs as expectations shift on Fed policy 
2014-09-17,0,IPhone emerges from  bygone era   reviewers hail bigger handset
2014-09-17,0,Apple to unveil new iPads  operating system on Oct  21  report
2014-09-17,0,Wall Street edges higher after Fed  Dow sets record
2014-09-18,0,Apple s iPhone 6 still one license away from elusive China launch
2014-09-18,0,Dow  S P 500 at records as Fed driven rally continues
2014-09-18,0,Apple s iPhone 6 Plus includes chips from Qualcomm  Skyworks  iFixit
2014-09-19,-1,Rivals dash to support Apple Pay for fear of losing out
2014-09-19,-1,Some consumers say Apple is losing its  cool  factor
2014-09-19,-1,Apple faithful line up for latest  larger iPhones
2014-09-22,-1,U S  stocks drop on U S  data  small cap rout  Dow falls 0 62
2014-09-24,0,Taiwan probes Xiaomi on cyber security
2014-09-24,0,BlackBerry launches square screen Passport in turnaround push
2014-09-24,0,Apple iPhone rollout marred by  bendgate   dropped cell service
2014-09-24,0,New  Bash  software bug may pose bigger threat than  Heartbleed 
2014-09-24,0,At L A  Clippers  Steve Ballmer prizes team tested by adversity
2014-09-25,-1,U S  stocks plummet on Russia move  iPhone glitches  Dow drops 1 54
2014-09-25,-1,Apple plays defense on iPhone 6 bending  software concerns
2014-09-26,1,BlackBerry cuts loss and sees rising sales  shares jump
2014-09-26,1,Alibaba options set for strong demand on market debut
2014-09-26,1,Apple says  Shellshock  no risk to vast majority of Mac users
2014-09-29,1,EU watchdog to give detail on Apple and Fiat tax investigations
2014-09-30,0,China OKs iPhone 6 sale after Apple addresses security concerns
2014-09-30,0,EU says Ireland tax deal with Apple was state aid
2014-09-30,0,Wall St  ends down for day  month  indexes gain in quarter
2014-10-01,-1,WiLan says loses LTE patent case against Apple
2014-10-02,1,Apple  Google  Amazon Under Fire In Australia For Tax Practices
2014-10-03,0,Wall St  rallies  S P 500 posts best day since August
2014-10-03,0,Exclusive  Facebook plots first steps into healthcare
2014-10-07,-1, Hairgate   iPhone hit by new social media storm
2014-10-08,1,Icahn tweets he will send open letter to Apple
2014-10-08,1,S P 500 has best day in a year following Fed minutes
2014-10-08,1,GT Advanced bankruptcy offers warning to Apple suppliers
2014-10-08,1,HTC CFO says company will not need to tap markets in 2015
2014-10-09,-1,Icahn urges  undervalued  Apple to buy back more shares
2014-10-09,-1,Wall Street sells off on growth concerns  volatility picks up
2014-10-09,-1,Apple supplier GT to drop sapphire ops  asks bankruptcy plan remain secret
2014-10-09,-1,Tech manufacturer Hon Hai says resolved strike at China factory
2014-10-09,-1,Apple delays production of larger iPad  WSJ
2014-10-09,-1,Google wins bid on which court to fight Rockstar over patents
2014-10-10,0,GT to cut jobs  wind down sapphire plant  takes aim at Apple
2014-10-13,-1,New iPhones to be available in more than 115 countries by year end
2014-10-14,-1,French bank turns to Twitter for money transfers 
2014-10-14,-1,Apple  Facebook will pay for female employees to freeze their eggs
2014-10-14,-1,New Poodle web threat not seen as menacing as Heartbleed  Shellshock
2014-10-15,0,U S  chipmaker Qualcomm hopes for knock out blow with  2 5 billion CSR bid
2014-10-16,1,PayPal spinoff seen critical for eBay amid e commerce weakness
2014-10-16,1,Apple s new iPads sport modest upgrades but short on  wow 
2014-10-16,1,FBI director warns new phone encryption could thwart probes
2014-10-16,1,Twitter lets users stream music  audio via SoundCloud tie up
2014-10-20,1,Solid data  earnings push world stocks higher
2014-10-20,1,U S  stocks end higher despite drag from IBM 
2014-10-20,1,Apple s iPhone sales beat Street but iPad volumes slide
2014-10-21,-1,Brighter China data fails to lift stocks  dollar sags 
2014-10-21,-1,Smartphone repair company B2X steps up expansion with Indian deal
2014-10-21,-1,China backed hackers target Apple s iCloud users  blog
2014-10-22,0,Hitachi Maxell cuts profit forecast  reduces headcount in battery unit
2014-10-22,0,Upbeat earnings  hopes of more ECB stimulus lift mood in Europe
2014-10-22,0,Apple CEO discusses security with top Chinese official amid hacking claims  Xinhua
2014-10-23,1,Apple ponders sapphire options  leaves door open for GT
2014-10-23,1,Gemalto reaffirms goals after third quarter sales rise
2014-10-24,0,U S  TV startup Roku to confidentially file for IPO  WSJ
2014-10-27,0,CVS Health  Rite Aid block Apple Pay in their stores  NYT
2014-10-27,0,Exclusive  Amazon buys comedy service Rooftop Media to expand digital content
2014-10-28,1,Alibaba s Ma says open to working with Apple on payments
2014-10-28,1,Apple CEO fires back as retailers block Pay
2014-10-28,1,GT Advanced sought to avoid costly battle with Apple  filing
2014-10-29,1,Visa sees mobile payment as big growth driver
2014-10-29,1,Wal Mart and allies in face off with Apple Pay over mobile payments
2014-10-30,0,MasterCard profit beats driven by international business
2014-10-30,0,Apple s Cook   I m proud to be gay 
2014-10-30,0,Samsung seeks smartphone revamp to arrest profit slide
2014-10-31,0,Leaner Sony gains smartphone lift despite its own mobile malaise 
2014-10-31,0,Samsung says Microsoft deal invites  charges of collusion   filing
2014-11-03,1,Apple plans investor call ahead of a potential bond sale  WSJ
2014-11-03,1,Factory growth ebbs in Europe   Asia  making case for more stimulus
2014-11-03,1,Former Adobe exec s start up seeks to improve the mammogram experience
2014-11-04,-1,Wider U S  trade deficit  weak exports point to slower growth
2014-11-05,0,Palo Alto Networks discovers new malware targeted at Apple devices
2014-11-06,0,Amazon launches a speaker you can talk to
2014-11-06,0,Apple blocks malware targeting products in China
2014-11-10,0,Apple iOS bug makes devices vulnerable to attack  experts
2014-11-10,0,Exclusive  Apple s enterprise assault gets into higher gear
2014-11-11,1,Apple must face U S  lawsuit over vanishing iPhone text messages
2014-11-12,1,BlackBerry set to map out enterprise strategy at San Francisco event
2014-11-12,1,Dow  S P 500 dip  end 5 day streak of closing highs
2014-11-13,1,U S  government warns on bug in Apple s iOS software
2014-11-13,1,Mobile game startup Scopely raises  35 million to offer more titles
2014-11-13,1,Russia s Mail ru buys maps service company to lure mobile users
2014-11-13,1,Dow at record but S P flat as energy weighs
2014-11-14,1,Ukraine and Russia take center stage as leaders gather for G20
2014-11-14,1,EU says Starbucks   very low  Dutch tax deal may be illegal
2014-11-14,1,Nokia says vanishing consumer brand may return
2014-11-14,1,Samsung Electronics chases curved smartphone wave to beat flat screen crowd
2014-11-14,1,Wal Mart s Vudu joins Disney s cloud movie service
2014-11-18,1,Nokia revives the brand with launch of iPad lookalike
2014-11-19,-1,Republicans block overhaul of NSA surveillance reform
2014-11-20,1,Intel gives upbeat outlook for 2015 revenue  stock gains
2014-11-20,1,Hon Hai  Innolux to invest  2 8 billion in Taiwan flat panel plant
2014-11-20,1,Google  Rockstar agree to settle patent litigation  filing
2014-11-21,-1,Apple  450 million e book settlement gets final court approval
2014-11-24,1,S P 500 ticks up to record on central bank bets
2014-11-28,0,Poor performance catching up with active stock fund managers
2014-11-28,0,Germany backs Blackberry s purchase of Secusmart
2014-12-01,-1,Samsung Electronics mobile chief survives reshuffle despite weak figures
2014-12-01,-1,Wall Street falls in broad decline  Apple stumbles
2014-12-01,-1,Apple tumbles as much as six percent in unusual trading
2014-12-02,1,Samsung Electronics exits fibre optics amid sharper focus on reviving smartphones
2014-12-02,1,Misfit Wearables raises  40 million from Xiaomi  other Chinese firms
2014-12-02,1,Steve Jobs emails featured in Apple iPod U S  antitrust trial
2014-12-03,0,Sony Pictures struggles to recover eight days after cyber attack
2014-12-03,0,Samsung mobile executives to leave after profit slide  source
2014-12-04,0,Samsung asks appeals court to throw out  930 million damages in Apple infringement case
2014-12-04,0,Barnes   Noble  Microsoft end Nook Media pact 
2014-12-05,-1,Taiwan probe finds 12 smartphone brands violate privacy rules
2014-12-08,-1,S P 500 posts worst day since October  energy shares sink
2014-12-09,1,U S  top court rejects worker pay for security screening time
2014-12-09,1,S P 500 erases early losses to end flat  energy  tech up
2014-12-09,1,PM Abe says Apple to build technical center in Japan
2014-12-10,-1,Dr  Phil s startup launches video visits with U S  therapists
2014-12-10,-1,Morgan Stanley fined  4 million over rule lapse
2014-12-11,-1,Hon Hai unit to close India phone plant on shift in client base
2014-12-11,-1,Ford reboots touch screen system with new Sync 3
2014-12-11,-1,Canada competition watchdog investigating Apple supply deals
2014-12-11,-1,Senator Hatch sees hope for tech immigration bill in new year
2014-12-12,-1,Apple pacts in Canada may have raised prices  court filing
2014-12-15,-1,Ex Google employees launch app to make you smarter about health  fitness
2014-12-15,-1,Apple antitrust case over iPods nears jury deliberations
2014-12-15,-1,GT Advanced Tech modifies bankruptcy deal with Apple
2014-12-15,-1,Diverse allies rally for Microsoft in overseas data fight
2014-12-15,-1,Sony hacking highlights challenge to CEO Hirai s  One Sony  vision
2014-12-16,0,Imagination Tech sees  significant  improvement ahead after profit fall
2014-12-16,0,China s Xiaomi booked  56 million profit in 2013  filing
2014-12-17,1,Apple says online store in Russia is down due to ruble fluctuations 
2014-12-17,1,Apple wins digital music U S  antitrust trial
2014-12-17,1,Canada court to order Apple to turn over records in iPhone probe
2014-12-18,1,Apple s Cook makes  substantial  donation for gay rights in U S  South
2014-12-18,1,Exclusive  Google aiming to go straight into car with next Android   sources
2014-12-18,1,Wall Street gains sharply for second day  tech shares lead
2014-12-23,-1,Apple Pushes First Ever Automated Security Update To Mac Users
2014-12-23,-1,GT Advanced to sell its sapphire furnaces
2014-12-23,-1,Huawei s smartphone sales shoot up after copying Xiaomi s online strategy
2014-12-26,1,U S  retailers miss fewer Christmas deadlines  early surveys
2014-12-26,1,Big questions for markets for 2015
2014-12-29,0,China s Xiaomi raises  1 1 billion from investors at  45 billion valuation
2014-12-30,-1,Taiwan says Xiaomi  other smartphone brands don t breach privacy rules
2014-12-31,-1,China s Huawei 2014 smartphone sales rise by a third
2014-12-31,-1,Sony s  Interview  lands on pay TV and in 580 theaters
2014-12-31,-1,Samsung Electronics says new smart TVs in 2015 to run Tizen platform
2015-01-05,-1,Facebook acquires voice recognition firm
2015-01-06,0,Sony CEO praises employees  partners for standing up to hackers
2015-01-07,1,Audio equipment maker Monster sues Beats over alleged fraud
2015-01-07,1,Police in China disclose contract for mobile phone snooping
2015-01-13,-1,Apple granted patent for GoPro like wearable cameras
2015-01-14,1,Apple sues Ericsson over LTE wireless telecom patents
2015-01-14,1,Ericsson files complaint against Apple over tech license payments
2015-01-15,-1,Exclusive  Samsung talks to BlackBerry about  7 5 billion buyout   source
2015-01-15,-1,China s Xiaomi challenges iPhone 6 Plus with new flagship Mi Note
2015-01-15,-1,Digital Ally considers push into action cameras
2015-01-16,-1,China s Xiaomi to invest in Indian start ups  overseas content
2015-01-16,-1,Google in talks to buy mobile payments company Softcard  TechCrunch
2015-01-21,1,Samsung drops Qualcomm processors in next Galaxy S  report
2015-01-21,1,SanDisk warns of weak first half of 2015  hurt by lean inventory
2015-01-21,1,Microsoft springs hologram surprise  but long way to reality 
2015-01-22,1,iPhone 6 hands Apple record share of Samsung s home market
2015-01-22,1,Sony s  The Interview  surpasses  40 million in digital sales
2015-01-23,1,Online data storage provider Box s shares soar in debut
2015-01-23,1,Ford opens new Silicon Valley research center
2015-01-26,-1,Huawei says consumer business group targets  16 billion revenue
2015-01-26,-1,Asian shares gain on easy monetary conditions  Apple earnings eyed
2015-01-27,-1,Dow Plunges 300 Points On Weak Earnings  Data
2015-01-27,-1,Apple takes top spot in Chinese smartphone market   data firm
2015-01-27,-1,U S  multinationals hit hard by strong dollar  to bleed further into 2015
2015-01-27,-1,Wall Street falls 1 percent on earnings  Apple rallies late
2015-01-27,-1,LG Display fourth quarter profit at four year high  2015 growth seen strong
2015-01-27,-1,Sony to cut 1 000 jobs in smartphone business  sources
2015-01-27,-1,Apple supplier Foxconn seeks to slim workforce over time  eyes robotics
2015-01-27,-1,Asian shares weaker in follow on to Wall Street  eyes on Fed ahead
2015-01-27,-1,Tencent  Alibaba lead China s top brands as tech dominates
2015-01-27,-1,Apple Supplier Foxconn To Shrink Workforce As Sales Growth Stalls
2015-01-28,-1,U S  stocks lower at close of trade
2015-01-28,-1,Wall Street ends lower after Fed statement  oil drop
2015-01-28,-1,Samsung Electronics fourth quarter profit meets guidance  outlook cautious
2015-01-28,-1,Apple takes high road in China smartphone standoff with Xiaomi
2015-01-28,-1,Apple shares rise sharply after blockbuster earnings 
2015-01-29,1,Microsoft gives away more Office software to attract mobile users
2015-01-29,1,Apple takes top gifting spot in China  report
2015-01-29,1,Zero profit growth expected for U S  companies in first quarter
2015-01-29,1,Wall Street finishes higher in afternoon rally as oil gains 
2015-01-29,1,Asian shares edge up after Wall Street gains
2015-01-30,-1,Broadcom s fourth quarter results exceed expectations
2015-02-02,0,Apple to invest  2 billion to convert sapphire plant to data center
2015-02-02,0,Lenovo quarterly revenue jumps 31 percent  tops expectations
2015-02-03,0,Japan tech strategy shifts see Sharp skid as Panasonic prospers
2015-02-03,0,ARM Holdings unveils beefed up smartphone chip design
2015-02-04,1,Seacrest s Typo products fined over BlackBerry injunction
2015-02-04,1,Paypal s retail chief quits ahead of eBay split
2015-02-05,0,Display makers look to next generation cars to drive growth
2015-02-05,0,Twitter tops Wall Street revenue target  user growth slows
2015-02-05,0,Swatch says to launch smart watch in next 2 3 months
2015-02-05,0,Exclusive  Apple s health tech takes early lead among top hospitals
2015-02-05,0,Top Grammy contenders find grassroots strength in streaming
2015-02-09,1,Amid mobile slump  Samsung needs more outside customers for its chips and panels
2015-02-10,1,Akamai revenue beats Street as media delivery product demand surges
2015-02-10,1,Western Union beats on profit  to buy back  1 2 billion shares
2015-02-10,1,Apple in big solar power deal  market cap closes over  700 billion
2015-02-11,1,ARM sees royalties accelerating with latest smartphone chips
2015-02-11,1,Stock futures rise on Greek agreement after S P ends flat 
2015-02-11,1,Icahn values Apple at more than  1 trillion
2015-02-11,1,Apple deal  tax change could spark corporate solar stampede
2015-02-11,1,Samsung Display to invest  3 6 billion in new OLED production line
2015-02-12,0,Apple s inability to monitor standards lets Pegatron pay low wages  NGO says
2015-02-12,0,Apple  Google Deals Show Renewable Sector s Strength
2015-02-12,0,US Stocks Soar To Highest Level In 2015
2015-02-12,0,Obama to encourage companies to share cyber threat data
2015-02-12,0,Apple  1 trillion stock market value could be years away
2015-02-13,0,Apple hiring auto experts for secret research project  FT
2015-02-13,0,Greenlight Capital scales back on Apple shares ahead of rally
2015-02-17,0,Samsung Electronics earmarking cash for growth  including MA
2015-02-17,0,Apple orders 5 6 million watches  WSJ
2015-02-18,1,Sony sees 25 fold profit jump by 2018 through videogames  sensors
2015-02-18,1,Samsung to buy mobile payment service provider LoopPay
2015-02-18,1,Apple poaching auto engineers to build battery division  lawsuit
2015-02-19,0,Irish regulator of Apple  Facebook eyes power to levy huge fines
2015-02-19,0,Apple wants to start making electric vehicles as early as 2020  Bloomberg
2015-02-20,1,Japan Display in talks with Apple to build iPhone screen plant  source
2015-02-20,1,Hack gave U S  and British spies access to billions of phones  Intercept
2015-02-20,1,Apple hiring big brains in car battery space
2015-02-23,1,Apple to spend  1 9 billion on new European data centers
2015-02-23,1,Nasdaq ends up 9th session  S P 500  Dow dip with energy
2015-02-24,-1,Asia shares inch ahead  hostage to Fed outlook 
2015-02-24,-1,U S  raises concerns over  made in Indonesia  smartphone law
2015-02-25,-1,Apple ordered to pay  533 million for patent infringement
2015-02-25,-1,Google expands push into workplace with Android for Work effort
2015-02-25,-1,S P  edge down with Apple  Dow ends at record high
2015-02-26,1,Samsung Elec to freeze salaries in South Korea for first time since 2009
2015-02-26,1,Apple to hold event on March 9  as Watch launch nears
2015-02-26,1,Falling oil prices push Dow Jones lower
2015-02-27,-1,China draft counterterror law strikes fear in foreign tech firms
2015-02-27,-1,Icahn s investment fund posts first loss since 2008 on oil plunge
2015-02-27,-1,Cook says Apple Watch will replace car keys  Telegraph
2015-02-27,-1,Wall Street ends down after data  posts strong gains for month
2015-02-27,-1,Google submits plans to expand Silicon Valley headquarters
2015-02-27,-1,Apple faces second suit from victorious patent firm
2015-02-27,-1,Ericsson sues Apple for telecom patent infringement
2015-03-02,0,Samsung unveils sleek new Galaxy phones to battle Apple
2015-03-02,0,Nasdaq Hits 5 000 Milestone For The First Time Since 2000
2015-03-02,0,NASDAQ clears 5 000 barrier  while Dow hits record high on Monday
2015-03-02,0,Exclusive  Obama sharply criticizes China s plans for new technology rules
2015-03-03,0,Sharp planning to tap banks for second bailout in three years
2015-03-03,0,Exclusive  Huawei plans big push to sell its phones  wearable devices in U S 
2015-03-03,0,BMW CEO sees challenges mounting for successor
2015-03-03,0,Apple edges out Samsung in global smartphone sales  Gartner
2015-03-03,0,Apple plans fix next week for newly uncovered Freak security bug
2015-03-03,0,Apple exploring settlement with electric car battery maker
2015-03-04,0,Judges wary of Apple s claims of phone patent harm by Samsung
2015-03-04,0,Report  HBO and Apple near partnership on video streaming service
2015-03-04,0,HBO in talks with Apple  Google to launch streaming service  reports
2015-03-05,-1,Self driving cars could generate billions in revenue  U S  study
2015-03-05,-1,U S  stock markets avoid first three day losing streak since early January
2015-03-05,-1,Apple delays larger iPad production till September  reports
2015-03-06,-1,Apple lets companies fine tune apps before watch debut  Bloomberg
2015-03-06,-1,Apple Pay stung in transactions using data stolen from retailers  WSJ
2015-03-06,-1,Microsoft warns Windows PCs also vulnerable to  Freak  attacks
2015-03-06,-1,Wall Street ends lower as jobs data may bring rate hike sooner
2015-03-06,-1,U S  stocks fall sharply after stronger than expected jobs report
